Ano;Período;Tipo Avaliacao;Professor;Departamento;Disciplina;Turma;Cursos;A turma se mostrou motivada para estudar a disciplina.;A turma teve facilidade para acompanhar acompanhar as atividades da disciplina;A turma se empenhou em acompanhar as atividades da disciplina.;Você apresentou plano de ensino contendo: ementa, objetivos, metodologias de ensino, critérios de avaliação, conteúdos e bibliografia da disciplina.;Os conteúdos trabalhados na disciplina foram coerentes com os que foram apresentados no plano de ensino.;Você deu retorno sobre todas as avaliações realizadas: correções, discussão dos pontos principais, esclarecimentos sobre os erros cometidos.;Os recursos didáticos, audiovisuais, tecnológicos empregados pelo(a) docente contribuíram para que a aula fosse mais produtiva.;Você cumpriu a carga horária prevista no semestre para a disciplina.;O grau de dificuldade das avaliações foi compatível com as aulas ministradas.;A disciplina contribuiu na preparação para o exercício profissional.;A disciplina contribuiu para a aquisição de formação teórica/prática na área. ;A disciplina contribuiu para a aquisição de cultura geral.;Você dispôs de horário de atendimento extra-classe.; As notas de todas as avaliações parciais foram divulgadas no SIGA até 3 (três) dias antes da data da avaliação subsequente, conforme determina o RAG. ;Você manteve um comportamento respeitoso e cortês em relação aos(às) discentes.
2018;3;DOCENTE_TURMA;C6BD90EB8C96D3CDCAF8A095AF1AFEEB;DEPTO FUNDAMENTOS SERV SOCIAL /SSO;2BE8BEBA288692A039CD403EC1D05C12;C;19A|68A;4;4;3;5;5;5;3;4;5;5;5;4;4;0;5
2018;3;DOCENTE_TURMA;C6BD90EB8C96D3CDCAF8A095AF1AFEEB;DEPTO FUNDAMENTOS SERV SOCIAL /SSO;F53A5A99B5F7040B0ED69EC68F94832D;C;19A|68A;4;4;3;5;5;5;3;4;5;5;5;4;4;0;5
2018;3;DOCENTE_TURMA;C6BD90EB8C96D3CDCAF8A095AF1AFEEB;DEPTO FUNDAMENTOS SERV SOCIAL /SSO;D75933A5415A7EAA179914C44DF4A317;C;19A|68A;4;4;3;5;5;5;3;4;5;5;5;4;4;0;5
2018;3;DOCENTE_TURMA;C6BD90EB8C96D3CDCAF8A095AF1AFEEB;DEPTO FUNDAMENTOS SERV SOCIAL /SSO;30ACA278F6E3B0B335C48D7162BEB7EA;O;19A|68A;4;4;4;5;5;4;4;5;5;4;5;4;3;0;5
2018;3;DOCENTE_TURMA;C6BD90EB8C96D3CDCAF8A095AF1AFEEB;DEPTO FUNDAMENTOS SERV SOCIAL /SSO;09C7CCA6372C9A8FD2CF9520449D0160;O;19A|68A;4;4;4;5;5;4;4;5;5;4;5;4;3;0;5
2018;3;DOCENTE_TURMA;8F7AAECA4765794EE978E8518CC1FB66;DEPTO DE CIRCUITOS ELETRICOS /ENG;324B35EDC7006A23B74DE1DFD0556241;B;25A|50A|65AH|65AI|65AJ|65AK|69A|69B|69C|69D|70A;2;4;4;5;4;3;4;4;5;4;5;2;5;0;5
2018;3;DOCENTE_TURMA;8F7AAECA4765794EE978E8518CC1FB66;DEPTO DE CIRCUITOS ELETRICOS /ENG;324B35EDC7006A23B74DE1DFD0556241;D;25A|50A|65A|69A|69B|69C|69D|70A;2;4;4;5;4;3;4;4;5;4;5;2;5;0;5
2018;3;DOCENTE_TURMA;8F7AAECA4765794EE978E8518CC1FB66;DEPTO DE CIRCUITOS ELETRICOS /ENG;88B3B99CBFE2DEBF396B1B479A9BA4E0;C;25A|65A|65AH|65AI|65AJ|65AK|69A|69B|69C|69D|70A;1;1;3;5;4;3;4;5;5;4;4;3;5;5;5
2018;3;DOCENTE_TURMA;5FC36DAD9990C6130D7CB83B34688DB0;DEPTO DE HISTORIA /ICH;A32D3BB51D68BC1EA2B893D44434239E;A;33A;3;4;1;5;5;3;4;5;5;4;4;5;4;3;5
2018;3;DOCENTE_TURMA;5FC36DAD9990C6130D7CB83B34688DB0;DEPTO DE HISTORIA /ICH;CD143B26BFA00ABE533EAB89DA266068;A;CDARA|04A;2;3;1;5;5;4;4;5;5;4;4;5;4;3;5
2018;3;DOCENTE_TURMA;4A6FF53C0837BB43B6C1AF603102112E;DEPTO DE TRANSPORTES E GEOTECNIA -TRN;B758CA853B60EF0111E9DE98F460C0AD;A;24A|65A|65AH;4;4;4;4;5;3;5;5;5;4;5;4;5;5;5
2018;3;DOCENTE_TURMA;4A6FF53C0837BB43B6C1AF603102112E;DEPTO DE TRANSPORTES E GEOTECNIA -TRN;B758CA853B60EF0111E9DE98F460C0AD;B;24A|65A;4;4;4;4;5;3;5;5;5;4;5;4;5;5;5
2018;3;DOCENTE_TURMA;4A6FF53C0837BB43B6C1AF603102112E;DEPTO DE TRANSPORTES E GEOTECNIA -TRN;68A2CD3FBCF732C975504CDD7B79A307;A;24A|67A;5;4;4;4;5;3;5;4;5;5;5;4;5;5;5
2018;3;DOCENTE_TURMA;4F4CFF9544649D2564B26E33C51C183D;DEP DIREITO - CAMPUS GOVERNADOR VALADARES;C8978409494A01F5A8C2B6A509D81F64;A;CDARA|01GV|02GV|04GV;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5
2018;3;DOCENTE_TURMA;4F4CFF9544649D2564B26E33C51C183D;DEP DIREITO - CAMPUS GOVERNADOR VALADARES;C8978409494A01F5A8C2B6A509D81F64;B;CDARA|01GV|02GV|03GV|04GV;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5
2018;3;DOCENTE_TURMA;4F4CFF9544649D2564B26E33C51C183D;DEP DIREITO - CAMPUS GOVERNADOR VALADARES;ECA622E6548166058ED618BE09B506B6;A;04GV;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5
2018;3;DOCENTE_TURMA;C8CD7E2833B1A0DBE9F4A2780A73EDC7;DEPTO DE BIOLOGIA /ICB;8FACB8FB8D3E888AE089D7FE45F0BD04;A;01B|01L|16A;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5
2018;3;DOCENTE_TURMA;C8CD7E2833B1A0DBE9F4A2780A73EDC7;DEPTO DE BIOLOGIA /ICB;33B721FF76F494CF1B91CD7B96224D75;A;01L;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2018;3;DOCENTE_TURMA;6D99B032393AC4EB70D73152E4D88A24;DEP MEDICINA - CAMPUS GOVERNADOR VALADARES;A11C110572C4525E5634CFC8577C34D1;A;07GV;4;4;5;5;5;5;5;5;5;5;4;3;4;5;5
2018;3;DOCENTE_TURMA;6D99B032393AC4EB70D73152E4D88A24;DEP MEDICINA - CAMPUS GOVERNADOR VALADARES;0E66337E228EECC04E3A752851A04518;A;07GV;4;4;5;5;5;5;5;5;5;5;4;4;4;5;5
